Day;Item;Price;Quantity;Cost;Category;
L;Primitiva;533,00;533;0;Lotery;
L;Joker Prim.;38,00;38;0;Lotery;
L;Bono Loto;327,50;655;0;Lotery;
L;Gordo;91,50;61;0;Lotery;
L;Quiniela;4,50;6;0;Lotery;
L;Quinigol;1,00;1;0;Lotery;
L;Euromillones;472,50;189;0;Lotery;
M;Primitiva;130,00;130;0;Lotery;
M;Joker Prim.;2,00;2;0;Lotery;
M;Bono Loto;53,00;106;0;Lotery;
M;Gordo;9,00;6;0;Lotery;
M;Quiniela;61,50;82;0;Lotery;
M;Euromillones;222,50;89;0;Lotery;
X;Primitiva;192,00;192;0;Lotery;
X;Joker Prim.;7,00;7;0;Lotery;
X;Bono Loto;29,00;58;0;Lotery;
X;Gordo;7,50;5;0;Lotery;
X;Quiniela;3,00;4;0;Lotery;
X;Euromillones;37,50;15;0;Lotery;
J;Primitiva;200,00;200;0;Lotery;
J;Joker Prim.;4,00;4;0;Lotery;
J;Bono Loto;23,00;46;0;Lotery;
J;Gordo;6,00;4;0;Lotery;
J;Euromillones;82,50;33;0;Lotery;
V;Primitiva;40,00;40;0;Lotery;
V;Bono Loto;50,00;100;0;Lotery;
V;Quiniela;33,75;45;0;Lotery;
V;Elige 8;1,00;2;0;Lotery;
V;Euromillones;82,50;33;0;Lotery;
S;Primitiva;75,00;75;0;Lotery;
S;Joker Prim.;2,00;2;0;Lotery;
S;Bono Loto;42,50;85;0;Lotery;
S;Gordo;18,00;12;0;Lotery;
S;Euromillones;75,00;30;0;Lotery;
D;Primitiva;199,00;199;0;Lotery;
D;Joker Prim.;10,00;10;0;Lotery;
D;Bono Loto;100,50;201;0;Lotery;
D;Gordo;96,00;64;0;Lotery;
D;Quiniela;13,50;18;0;Lotery;
D;Quinigol;1,00;1;1;Lotery;
D;Euromillones;105,00;42;2;Lotery;
D;Lototurf;1,00;1;3;Lotery;
