Day;Item;Price;Quantity;Cost;Category;
L;Primitiva;393,00;393;0;Lotery;
L;Joker Prim.;20,00;20;0;Lotery;
L;Bono Loto;193,00;386;0;Lotery;
L;Gordo;76,50;51;0;Lotery;
L;Quiniela;4,50;6;0;Lotery;
L;Quinigol;2,00;2;0;Lotery;
L;Euromillones;400,00;160;0;Lotery;
L;Lototurf;1,00;1;0;Lotery;
M;Primitiva;124,00;124;0;Lotery;
M;Joker Prim.;7,00;7;0;Lotery;
M;Bono Loto;70,50;141;0;Lotery;
M;Gordo;16,50;11;0;Lotery;
M;Quiniela;9,00;12;0;Lotery;
M;Euromillones;175,00;70;0;Lotery;
X;Primitiva;199,00;199;0;Lotery;
X;Joker Prim.;4,00;4;0;Lotery;
X;Bono Loto;61,00;122;0;Lotery;
X;Gordo;6,00;4;0;Lotery;
X;Quiniela;1,50;2;0;Lotery;
X;Quinigol;1,00;1;0;Lotery;
X;Euromillones;80,00;32;0;Lotery;
J;Primitiva;204,00;204;0;Lotery;
J;Joker Prim.;8,00;8;0;Lotery;
J;Bono Loto;29,00;58;0;Lotery;
J;Gordo;10,50;7;0;Lotery;
J;Quiniela;25,50;34;0;Lotery;
J;Euromillones;35,00;14;0;Lotery;
V;Primitiva;41,00;41;0;Lotery;
V;Joker Prim.;1,00;1;0;Lotery;
V;Bono Loto;54,00;108;0;Lotery;
V;Gordo;15,00;10;0;Lotery;
V;Quiniela;24,00;32;0;Lotery;
V;Elige 8;0,50;1;0;Lotery;
V;Quinigol;1,00;1;0;Lotery;
V;Euromillones;95,00;38;0;Lotery;
S;Primitiva;97,00;97;0;Lotery;
S;Joker Prim.;6,00;6;0;Lotery;
S;Bono Loto;49,00;98;0;Lotery;
S;Gordo;10,50;7;0;Lotery;
S;Quiniela;125,25;167;0;Lotery;
S;Elige 8;3,50;7;0;Lotery;
S;Euromillones;52,50;21;0;Lotery;
D;Primitiva;177,00;177;0;Lotery;
D;Joker Prim.;7,00;7;0;Lotery;
D;Bono Loto;133,00;266;0;Lotery;
D;Gordo;196,50;131;0;Lotery;
D;Quiniela;1,50;2;0;Lotery;
D;Quinigol;1,00;1;0;Lotery;
D;Euromillones;112,50;45;0;Lotery;
D;Lototurf;3,00;3;0;Lotery;
