Day;Item;Price;Quantity;Cost;Category;
L;Primitiva;380,00;380;0;Lotery;
L;Joker Prim.;11,00;11;0;Lotery;
L;Bono Loto;121,50;243;0;Lotery;
L;Gordo;45,00;30;0;Lotery;
L;Euromillones;427,50;171;0;Lotery;
M;Primitiva;185,00;185;0;Lotery;
M;Joker Prim.;18,00;18;0;Lotery;
M;Bono Loto;12,50;25;0;Lotery;
M;Gordo;9,00;6;0;Lotery;
M;Euromillones;205,00;82;0;Lotery;
X;Primitiva;241,00;241;0;Lotery;
X;Joker Prim.;11,00;11;0;Lotery;
X;Gordo;6,00;4;0;Lotery;
X;Euromillones;45,00;18;0;Lotery;
J;Primitiva;118,00;118;0;Lotery;
J;Joker Prim.;8,00;8;0;Lotery;
J;Bono Loto;4,00;8;0;Lotery;
J;Gordo;4,50;3;0;Lotery;
J;Euromillones;77,50;31;0;Lotery;
V;Primitiva;69,00;69;0;Lotery;
V;Joker Prim.;5,00;5;0;Lotery;
V;Bono Loto;3,00;6;0;Lotery;
V;Gordo;9,00;6;0;Lotery;
V;Euromillones;135,00;54;0;Lotery;
S;Primitiva;60,00;60;0;Lotery;
S;Joker Prim.;3,00;3;0;Lotery;
S;Gordo;4,50;3;0;Lotery;
S;Euromillones;30,00;12;0;Lotery;
D;Primitiva;167,00;167;0;Lotery;
D;Joker Prim.;9,00;9;0;Lotery;
D;Bono Loto;96,50;193;0;Lotery;
D;Gordo;13,50;9;0;Lotery;
D;Euromillones;115,00;46;0;Lotery;
