Day;Item;Price;Quantity;Cost;Category;
L;Primitiva;402,00;402;0;Lotery;
L;Joker Prim.;26,00;26;0;Lotery;
L;Bono Loto;237,00;474;0;Lotery;
L;Gordo;87,00;58;0;Lotery;
L;Quiniela;3,00;4;0;Lotery;
L;Quinigol;1,00;1;0;Lotery;
L;Euromillones;437,50;175;0;Lotery;
L;Lototurf;1,00;1;0;Lotery;
M;Primitiva;100,00;100;0;Lotery;
M;Joker Prim.;10,00;10;0;Lotery;
M;Bono Loto;63,50;127;0;Lotery;
M;Gordo;16,50;11;0;Lotery;
M;Quiniela;1,50;2;0;Lotery;
M;Quinigol;2,00;2;0;Lotery;
M;Euromillones;200,00;80;0;Lotery;
X;Primitiva;217,00;217;0;Lotery;
X;Joker Prim.;4,00;4;0;Lotery;
X;Bono Loto;74,00;148;0;Lotery;
X;Gordo;4,50;3;0;Lotery;
X;Quiniela;7,50;10;0;Lotery;
X;Euromillones;80,00;32;0;Lotery;
J;Primitiva;217,00;217;0;Lotery;
J;Joker Prim.;4,00;4;0;Lotery;
J;Bono Loto;51,00;102;0;Lotery;
J;Gordo;3,00;2;0;Lotery;
J;Quiniela;1,50;2;0;Lotery;
J;Euromillones;25,00;10;0;Lotery;
V;Primitiva;32,00;32;0;Lotery;
V;Joker Prim.;1,00;1;0;Lotery;
V;Bono Loto;45,50;91;0;Lotery;
V;Gordo;16,50;11;0;Lotery;
V;Euromillones;90,00;36;0;Lotery;
S;Primitiva;63,00;63;0;Lotery;
S;Joker Prim.;4,00;4;0;Lotery;
S;Bono Loto;76,50;153;0;Lotery;
S;Gordo;16,50;11;0;Lotery;
S;Quiniela;3,00;4;0;Lotery;
S;Elige 8;1,00;2;0;Lotery;
S;Euromillones;45,00;18;0;Lotery;
D;Primitiva;151,00;151;0;Lotery;
D;Joker Prim.;13,00;13;0;Lotery;
D;Bono Loto;120,00;240;0;Lotery;
D;Gordo;141,00;94;0;Lotery;
D;Euromillones;137,50;55;0;Lotery;
D;Lototurf;3,00;3;0;Lotery;
