Day;Item;Price;Quantity;Cost;Category;
L;Primitiva;423,00;423;0;Lotery;
L;Joker Prim.;37,00;37;0;Lotery;
L;Bono Loto;261,00;522;0;Lotery;
L;Gordo;93,00;62;0;Lotery;
L;Quiniela;8,25;11;0;Lotery;
L;Elige 8;0,50;1;0;Lotery;
L;Quinigol;1,00;1;0;Lotery;
L;Euromillones;480,00;192;0;Lotery;
L;Lototurf;2,00;2;0;Lotery;
M;Primitiva;110,00;110;0;Lotery;
M;Bono Loto;44,00;88;0;Lotery;
M;Gordo;7,50;5;0;Lotery;
M;Quiniela;43,50;58;0;Lotery;
M;Euromillones;185,00;74;0;Lotery;
X;Primitiva;219,00;219;0;Lotery;
X;Joker Prim.;8,00;8;0;Lotery;
X;Bono Loto;40,50;81;0;Lotery;
X;Gordo;10,50;7;0;Lotery;
X;Quiniela;1,50;2;0;Lotery;
X;Quinigol;1,00;1;0;Lotery;
X;Euromillones;70,00;28;0;Lotery;
J;Primitiva;223,00;223;0;Lotery;
J;Joker Prim.;4,00;4;0;Lotery;
J;Bono Loto;59,00;118;0;Lotery;
J;Gordo;4,50;3;0;Lotery;
J;Quiniela;16,50;22;0;Lotery;
J;Euromillones;77,50;31;0;Lotery;
J;Lototurf;1,00;1;0;Lotery;
V;Primitiva;49,00;49;0;Lotery;
V;Joker Prim.;1,00;1;0;Lotery;
V;Bono Loto;63,50;127;0;Lotery;
V;Gordo;6,00;4;0;Lotery;
V;Quiniela;59,25;79;0;Lotery;
V;Elige 8;1,00;2;0;Lotery;
V;Quinigol;1,00;1;0;Lotery;
V;Euromillones;82,50;33;0;Lotery;
S;Primitiva;110,00;110;0;Lotery;
S;Joker Prim.;6,00;6;0;Lotery;
S;Bono Loto;45,50;91;0;Lotery;
S;Gordo;19,50;13;0;Lotery;
S;Quiniela;71,25;95;0;Lotery;
S;Elige 8;0,50;1;0;Lotery;
S;Euromillones;30,00;12;0;Lotery;
S;Lototurf;1,00;1;0;Lotery;
D;Primitiva;156,00;156;0;Lotery;
D;Joker Prim.;6,00;6;0;Lotery;
D;Bono Loto;117,50;235;0;Lotery;
D;Gordo;115,50;77;0;Lotery;
D;Euromillones;145,00;58;0;Lotery;
D;Lototurf;1,00;1;0;Lotery;
