Day;Item;Price;Quantity;Cost;Category;
L;Primitiva;368;368;0;Lotery;
L;Joker Prim.;26;26;0;Lotery;
L;Bono Loto;245;490;0;Lotery;
L;Gordo;61,5;41;0;Lotery;
L;Quiniela;7,5;10;0;Lotery;
L;Elige 8;0,5;1;0;Lotery;
L;Quinigol;1;1;0;Lotery;
L;Euromillones;395;158;0;Lotery;
L;Lototurf;2;2;0;Lotery;
M;Primitiva;136;136;0;Lotery;
M;Joker Prim.;4;4;0;Lotery;
M;Bono Loto;77,5;155;0;Lotery;
M;Gordo;19,5;13;0;Lotery;
M;Quiniela;6;8;0;Lotery;
M;Euromillones;227,5;91;0;Lotery;
X;Primitiva;214;214;0;Lotery;
X;Joker Prim.;6;6;0;Lotery;
X;Bono Loto;113;226;0;Lotery;
X;Gordo;12;8;0;Lotery;
X;Quiniela;13,5;18;0;Lotery;
X;Quinigol;8;8;0;Lotery;
X;Euromillones;67,5;27;0;Lotery;
J;Primitiva;232;232;0;Lotery;
J;Joker Prim.;5;5;0;Lotery;
J;Bono Loto;45,5;91;0;Lotery;
J;Gordo;10,5;7;0;Lotery;
J;Quiniela;14,25;19;0;Lotery;
J;Euromillones;87,5;35;0;Lotery;
V;Primitiva;80;80;0;Lotery;
V;Joker Prim.;1;1;0;Lotery;
V;Bono Loto;46;92;0;Lotery;
V;Gordo;6;4;0;Lotery;
V;Quiniela;84;112;0;Lotery;
V;Elige 8;0,5;1;0;Lotery;
V;Euromillones;87,5;35;0;Lotery;
V;Lototurf;1;1;0;Lotery;
S;Primitiva;85;85;0;Lotery;
S;Joker Prim.;4;4;0;Lotery;
S;Bono Loto;23,5;47;0;Lotery;
S;Gordo;16,5;11;0;Lotery;
S;Quiniela;53,25;71;0;Lotery;
S;Elige 8;1,5;3;0;Lotery;
S;Quinigol;2;2;0;Lotery;
S;Euromillones;20;8;0;Lotery;
D;Primitiva;158;158;0;Lotery;
D;Joker Prim.;8;8;0;Lotery;
D;Bono Loto;97,5;195;0;Lotery;
D;Gordo;145,5;97;0;Lotery;
D;Quiniela;1,5;2;0;Lotery;
D;Quinigol;1;1;0;Lotery;
D;Euromillones;115;46;0;Lotery;
D;Lototurf;3;3;0;Lotery;
