Day;Item;Price;Quantity;Cost;Category;
L;Primitiva;458,00;458;0;Lotery;
L;Joker Prim.;26,00;26;0;Lotery;
L;Bono Loto;246,00;492;0;Lotery;
L;Gordo;90,00;60;0;Lotery;
L;Euromillones;440,00;176;0;Lotery;
M;Primitiva;207,00;207;0;Lotery;
M;Joker Prim.;9,00;9;0;Lotery;
M;Bono Loto;39,00;78;0;Lotery;
M;Gordo;12,00;8;0;Lotery;
M;Euromillones;202,50;81;0;Lotery;
X;Primitiva;127,00;127;0;Lotery;
X;Joker Prim.;3,00;3;0;Lotery;
X;Bono Loto;42,00;84;0;Lotery;
X;Gordo;6,00;4;0;Lotery;
X;Quiniela;1,50;2;0;Lotery;
X;Euromillones;37,50;15;0;Lotery;
J;Primitiva;150,00;150;0;Lotery;
J;Joker Prim.;4,00;4;0;Lotery;
J;Bono Loto;39,50;79;0;Lotery;
J;Gordo;37,50;25;0;Lotery;
J;Euromillones;42,50;17;0;Lotery;
V;Primitiva;68,00;68;0;Lotery;
V;Joker Prim.;1,00;1;0;Lotery;
V;Bono Loto;53,00;106;0;Lotery;
V;Gordo;10,50;7;0;Lotery;
V;Euromillones;97,50;39;0;Lotery;
S;Primitiva;222,00;222;0;Lotery;
S;Joker Prim.;14,00;14;0;Lotery;
S;Bono Loto;70,50;141;0;Lotery;
S;Gordo;28,50;19;0;Lotery;
S;Euromillones;65,00;26;0;Lotery;
D;Primitiva;171,00;171;0;Lotery;
D;Joker Prim.;10,00;10;0;Lotery;
D;Bono Loto;105,00;210;0;Lotery;
D;Gordo;136,50;91;0;Lotery;
D;Euromillones;110,00;44;0;Lotery;
