Day;Item;Price;Quantity;Cost;Category;
L;Primitiva;392,00;392;0;Lotery;
L;Joker Prim.;30,00;30;0;Lotery;
L;Bono Loto;295,00;590;0;Lotery;
L;Gordo;85,50;57;0;Lotery;
L;Quiniela;6,00;8;0;Lotery;
L;Euromillones;445,00;178;0;Lotery;
L;Lototurf;1,00;1;0;Lotery;
M;Primitiva;110,00;110;0;Lotery;
M;Joker Prim.;1,00;1;0;Lotery;
M;Bono Loto;63,50;127;0;Lotery;
M;Gordo;7,50;5;0;Lotery;
M;Quiniela;12,00;16;0;Lotery;
M;Elige 8;0,50;1;0;Lotery;
M;Quinigol;1,00;1;0;Lotery;
M;Euromillones;220,00;88;0;Lotery;
X;Primitiva;141,00;141;0;Lotery;
X;Bono Loto;32,50;65;0;Lotery;
X;Gordo;6,00;4;0;Lotery;
X;Quiniela;9,75;13;0;Lotery;
X;Euromillones;117,50;47;0;Lotery;
J;Primitiva;284,00;284;0;Lotery;
J;Joker Prim.;12,00;12;0;Lotery;
J;Bono Loto;47,50;95;0;Lotery;
J;Quiniela;18,00;24;0;Lotery;
J;Euromillones;40,00;16;0;Lotery;
V;Primitiva;53,00;53;0;Lotery;
V;Bono Loto;49,00;98;0;Lotery;
V;Gordo;19,50;13;0;Lotery;
V;Quiniela;77,25;103;0;Lotery;
V;Elige 8;1,00;2;0;Lotery;
V;Quinigol;1,00;1;0;Lotery;
V;Euromillones;97,50;39;0;Lotery;
S;Primitiva;84,00;84;0;Lotery;
S;Joker Prim.;4,00;4;0;Lotery;
S;Bono Loto;40,50;81;0;Lotery;
S;Gordo;22,50;15;0;Lotery;
S;Quiniela;87,00;116;0;Lotery;
S;Quinigol;1,00;1;0;Lotery;
S;Euromillones;75,00;30;0;Lotery;
D;Primitiva;157,00;157;0;Lotery;
D;Joker Prim.;13,00;13;0;Lotery;
D;Bono Loto;129,50;259;0;Lotery;
D;Gordo;205,50;137;0;Lotery;
D;Euromillones;137,50;55;0;Lotery;
D;Lototurf;2,00;2;0;Lotery;
