Day;Item;Price;Quantity;Cost;Category;
L;Primitiva;434,00;434;0;Lotery;
L;Joker Prim.;31,00;31;0;Lotery;
L;Bono Loto;247,00;494;0;Lotery;
L;Gordo;94,50;63;0;Lotery;
L;Euromillones;492,50;197;0;Lotery;
L;Lototurf;1,00;1;0;Lotery;
M;Primitiva;93,00;93;0;Lotery;
M;Bono Loto;73,50;147;0;Lotery;
M;Gordo;4,50;3;0;Lotery;
M;Quiniela;33,00;44;0;Lotery;
M;Elige 8;16,00;32;0;Lotery;
M;Quinigol;1,00;1;0;Lotery;
M;Euromillones;137,50;55;0;Lotery;
X;Primitiva;228,00;228;0;Lotery;
X;Joker Prim.;6,00;6;0;Lotery;
X;Bono Loto;48,50;97;0;Lotery;
X;Gordo;9,00;6;0;Lotery;
X;Quiniela;4,50;6;0;Lotery;
X;Quinigol;1,00;1;0;Lotery;
X;Euromillones;122,50;49;0;Lotery;
J;Primitiva;262,00;262;0;Lotery;
J;Joker Prim.;11,00;11;0;Lotery;
J;Bono Loto;35,00;70;0;Lotery;
J;Gordo;10,50;7;0;Lotery;
J;Quiniela;16,50;22;0;Lotery;
J;Euromillones;50,00;20;0;Lotery;
V;Primitiva;49,00;49;0;Lotery;
V;Bono Loto;48,50;97;0;Lotery;
V;Gordo;7,50;5;0;Lotery;
V;Quiniela;86,25;115;0;Lotery;
V;Elige 8;0,50;1;0;Lotery;
V;Euromillones;95,00;38;0;Lotery;
S;Primitiva;98,00;98;0;Lotery;
S;Joker Prim.;7,00;7;0;Lotery;
S;Bono Loto;41,50;83;0;Lotery;
S;Gordo;9,00;6;0;Lotery;
S;Quiniela;79,50;106;0;Lotery;
S;Elige 8;2,00;4;0;Lotery;
S;Euromillones;40,00;16;0;Lotery;
D;Primitiva;227,00;227;0;Lotery;
D;Joker Prim.;10,00;10;0;Lotery;
D;Bono Loto;143,00;286;0;Lotery;
D;Gordo;133,50;89;0;Lotery;
D;Euromillones;105,00;42;0;Lotery;
D;Lototurf;1,00;1;0;Lotery;
