Day;Item;Price;Quantity;Cost;Category;
L;Primitiva;446,00;446;0;Lotery;
L;Joker Prim.;28,00;28;0;Lotery;
L;Bono Loto;250,50;501;0;Lotery;
L;Gordo;78,00;52;0;Lotery;
L;Quiniela;1,50;2;0;Lotery;
L;Euromillones;450,00;180;0;Lotery;
L;Lototurf;1,00;1;0;Lotery;
M;Primitiva;136,00;136;0;Lotery;
M;Joker Prim.;3,00;3;0;Lotery;
M;Bono Loto;66,50;133;0;Lotery;
M;Gordo;13,50;9;0;Lotery;
M;Euromillones;237,50;95;0;Lotery;
X;Primitiva;177,00;177;0;Lotery;
X;Joker Prim.;4,00;4;0;Lotery;
X;Bono Loto;57,50;115;0;Lotery;
X;Gordo;4,50;3;0;Lotery;
X;Quiniela;1,50;2;0;Lotery;
X;Euromillones;90,00;36;0;Lotery;
J;Primitiva;256,00;256;0;Lotery;
J;Joker Prim.;6,00;6;0;Lotery;
J;Bono Loto;95,00;190;0;Lotery;
J;Gordo;4,50;3;0;Lotery;
J;Quiniela;46,50;62;0;Lotery;
J;Euromillones;55,00;22;0;Lotery;
V;Primitiva;62,00;62;0;Lotery;
V;Joker Prim.;1,00;1;0;Lotery;
V;Bono Loto;48,00;96;0;Lotery;
V;Gordo;6,00;4;0;Lotery;
V;Quiniela;28,50;38;0;Lotery;
V;Elige 8;0,50;1;0;Lotery;
V;Quinigol;1,00;1;0;Lotery;
V;Euromillones;115,00;46;0;Lotery;
S;Primitiva;95,00;95;0;Lotery;
S;Joker Prim.;5,00;5;0;Lotery;
S;Bono Loto;51,00;102;0;Lotery;
S;Gordo;15,00;10;0;Lotery;
S;Quiniela;55,50;74;0;Lotery;
S;Elige 8;1,00;2;0;Lotery;
S;Euromillones;75,00;30;0;Lotery;
D;Primitiva;131,00;131;0;Lotery;
D;Joker Prim.;11,00;11;0;Lotery;
D;Bono Loto;77,50;155;0;Lotery;
D;Gordo;219,00;146;0;Lotery;
D;Euromillones;122,50;49;0;Lotery;
D;Lototurf;3,00;3;0;Lotery;
