Day;Item;Price;Quantity;Cost;Category;
L;Primitiva;415,00;415;0;Lotery;
L;Joker Prim.;30,00;30;0;Lotery;
L;Bono Loto;220,00;440;0;Lotery;
L;Gordo;79,50;53;0;Lotery;
L;Quiniela;1,50;2;0;Lotery;
L;Euromillones;525,00;210;0;Lotery;
L;Lototurf;2,00;2;0;Lotery;
M;Primitiva;89,00;89;0;Lotery;
M;Joker Prim.;2,00;2;0;Lotery;
M;Bono Loto;64,00;128;0;Lotery;
M;Gordo;7,50;5;0;Lotery;
M;Quiniela;6,00;8;0;Lotery;
M;Euromillones;167,50;67;0;Lotery;
X;Primitiva;197,00;197;0;Lotery;
X;Joker Prim.;4,00;4;0;Lotery;
X;Bono Loto;58,00;116;0;Lotery;
X;Gordo;4,50;3;0;Lotery;
X;Quiniela;7,50;10;0;Lotery;
X;Quinigol;8,00;8;0;Lotery;
X;Euromillones;105,00;42;0;Lotery;
J;Primitiva;219,00;219;0;Lotery;
J;Joker Prim.;6,00;6;0;Lotery;
J;Bono Loto;28,00;56;0;Lotery;
J;Gordo;7,50;5;0;Lotery;
J;Euromillones;95,00;38;0;Lotery;
V;Primitiva;51,00;51;0;Lotery;
V;Joker Prim.;1,00;1;0;Lotery;
V;Bono Loto;49,50;99;0;Lotery;
V;Gordo;7,50;5;0;Lotery;
V;Quiniela;60,00;80;0;Lotery;
V;Elige 8;0,50;1;0;Lotery;
V;Euromillones;145,00;58;0;Lotery;
S;Primitiva;96,00;96;0;Lotery;
S;Joker Prim.;4,00;4;0;Lotery;
S;Bono Loto;36,00;72;0;Lotery;
S;Gordo;54,00;36;0;Lotery;
S;Quiniela;40,50;54;0;Lotery;
S;Elige 8;1,00;2;0;Lotery;
S;Euromillones;67,50;27;0;Lotery;
D;Primitiva;189,00;189;0;Lotery;
D;Joker Prim.;12,00;12;0;Lotery;
D;Bono Loto;133,00;266;0;Lotery;
D;Gordo;120,00;80;0;Lotery;
D;Quiniela;1,50;2;0;Lotery;
D;Quinigol;1,00;1;0;Lotery;
D;Euromillones;177,50;71;0;Lotery;
D;Lototurf;4,00;4;0;Lotery;
