Day;Item;Price;Quantity;Cost;Category;
L;Primitiva;360,00;360;0;Lotery;
L;Joker Prim.;18,00;18;0;Lotery;
L;Bono Loto;218,50;437;0;Lotery;
L;Gordo;88,50;59;0;Lotery;
L;Quiniela;1,50;2;0;Lotery;
L;Euromillones;417,50;167;0;Lotery;
L;Lototurf;1,00;1;0;Lotery;
M;Primitiva;147,00;147;0;Lotery;
M;Joker Prim.;2,00;2;0;Lotery;
M;Bono Loto;69,00;138;0;Lotery;
M;Gordo;6,00;4;0;Lotery;
M;Quiniela;7,50;10;0;Lotery;
M;Euromillones;210,00;84;0;Lotery;
X;Primitiva;178,00;178;0;Lotery;
X;Joker Prim.;5,00;5;0;Lotery;
X;Bono Loto;62,50;125;0;Lotery;
X;Gordo;6,00;4;0;Lotery;
X;Quiniela;3,75;5;0;Lotery;
X;Euromillones;82,50;33;0;Lotery;
J;Primitiva;224,00;224;0;Lotery;
J;Joker Prim.;9,00;9;0;Lotery;
J;Bono Loto;30,00;60;0;Lotery;
J;Gordo;13,50;9;0;Lotery;
J;Quiniela;3,00;4;0;Lotery;
J;Euromillones;142,50;57;0;Lotery;
V;Primitiva;43,00;43;0;Lotery;
V;Bono Loto;87,00;174;0;Lotery;
V;Gordo;7,50;5;0;Lotery;
V;Quiniela;29,25;39;0;Lotery;
V;Elige 8;1,00;2;0;Lotery;
V;Quinigol;6,00;6;0;Lotery;
V;Euromillones;185,00;74;0;Lotery;
S;Primitiva;102,00;102;0;Lotery;
S;Joker Prim.;4,00;4;0;Lotery;
S;Bono Loto;19,50;39;0;Lotery;
S;Gordo;25,50;17;0;Lotery;
S;Quiniela;123,00;164;0;Lotery;
S;Elige 8;9,50;19;0;Lotery;
S;Euromillones;45,00;18;0;Lotery;
D;Primitiva;233,00;233;0;Lotery;
D;Joker Prim.;8,00;8;0;Lotery;
D;Bono Loto;112,50;225;0;Lotery;
D;Gordo;130,50;87;0;Lotery;
D;Euromillones;167,50;67;0;Lotery;
D;Lototurf;4,00;4;0;Lotery;
