Day;Item;Price;Quantity;Cost;Category;
L;Primitiva;317,00;317;0;Lotery;
L;Joker Prim.;21,00;21;0;Lotery;
L;Bono Loto;571,50;1.143;0;Lotery;
L;Gordo;79,50;53;0;Lotery;
L;Quiniela;10,50;14;0;Lotery;
L;Quinigol;1,00;1;0;Lotery;
L;Euromillones;390,00;156;0;Lotery;
L;Lototurf;2,00;2;0;Lotery;
M;Primitiva;264,00;264;0;Lotery;
M;Joker Prim.;10,00;10;0;Lotery;
M;Bono Loto;82,50;165;0;Lotery;
M;Gordo;34,50;23;0;Lotery;
M;Quiniela;3,00;4;0;Lotery;
M;Euromillones;330,00;132;0;Lotery;
X;Primitiva;224,00;224;0;Lotery;
X;Joker Prim.;5,00;5;0;Lotery;
X;Bono Loto;62,50;125;0;Lotery;
X;Gordo;13,50;9;0;Lotery;
X;Quiniela;3,75;5;0;Lotery;
X;Quinigol;1,00;1;0;Lotery;
X;Euromillones;115,00;46;0;Lotery;
J;Primitiva;244,00;244;0;Lotery;
J;Joker Prim.;12,00;12;0;Lotery;
J;Bono Loto;60,50;121;0;Lotery;
J;Gordo;4,50;3;0;Lotery;
J;Quiniela;3,00;4;0;Lotery;
J;Euromillones;80,00;32;0;Lotery;
V;Primitiva;44,00;44;0;Lotery;
V;Joker Prim.;1,00;1;0;Lotery;
V;Bono Loto;63,50;127;0;Lotery;
V;Gordo;3,00;2;0;Lotery;
V;Quiniela;37,50;50;0;Lotery;
V;Elige 8;0,50;1;0;Lotery;
V;Euromillones;100,00;40;0;Lotery;
S;Primitiva;122,00;122;0;Lotery;
S;Joker Prim.;4,00;4;0;Lotery;
S;Bono Loto;61,00;122;0;Lotery;
S;Gordo;19,50;13;0;Lotery;
S;Quiniela;10,50;14;0;Lotery;
S;Quinigol;4,00;4;0;Lotery;
S;Euromillones;47,50;19;0;Lotery;
S;Lototurf;1,00;1;0;Lotery;
D;Primitiva;208,00;208;0;Lotery;
D;Joker Prim.;10,00;10;0;Lotery;
D;Bono Loto;133,50;267;0;Lotery;
D;Gordo;141,00;94;0;Lotery;
D;Euromillones;147,50;59;0;Lotery;
D;Lototurf;10,00;10;0;Lotery;
