Day;Item;Price;Quantity;Cost;Category;
L;Primitiva;417,00;417;0;Lotery;
L;Joker Prim.;24,00;24;0;Lotery;
L;Bono Loto;124,50;249;0;Lotery;
L;Gordo;18,00;12;0;Lotery;
L;Euromillones;377,50;151;0;Lotery;
M;Primitiva;130,00;130;0;Lotery;
M;Joker Prim.;7,00;7;0;Lotery;
M;Bono Loto;38,00;76;0;Lotery;
M;Gordo;10,50;7;0;Lotery;
M;Euromillones;227,50;91;0;Lotery;
X;Primitiva;143,00;143;0;Lotery;
X;Joker Prim.;4,00;4;0;Lotery;
X;Bono Loto;20,00;40;0;Lotery;
X;Gordo;4,50;3;0;Lotery;
X;Euromillones;75,00;30;0;Lotery;
J;Primitiva;185,00;185;0;Lotery;
J;Joker Prim.;4,00;4;0;Lotery;
J;Bono Loto;40,50;81;0;Lotery;
J;Gordo;6,00;4;0;Lotery;
J;Euromillones;62,50;25;0;Lotery;
V;Primitiva;45,00;45;0;Lotery;
V;Bono Loto;42,50;85;0;Lotery;
V;Gordo;9,00;6;0;Lotery;
V;Euromillones;75,00;30;0;Lotery;
S;Primitiva;75,00;75;0;Lotery;
S;Joker Prim.;2,00;2;0;Lotery;
S;Bono Loto;41,50;83;0;Lotery;
S;Gordo;3,00;2;0;Lotery;
S;Euromillones;55,00;22;0;Lotery;
D;Primitiva;128,00;128;0;Lotery;
D;Joker Prim.;7,00;7;0;Lotery;
D;Bono Loto;92,50;185;0;Lotery;
D;Gordo;117,00;78;0;Lotery;
D;Euromillones;135,00;54;0;Lotery;
