Day;Item;Price;Quantity;Cost;Category;
L;Primitiva;383,00;383;0;Lotery;
L;Joker Prim.;20,00;20;0;Lotery;
L;Bono Loto;201,50;403;0;Lotery;
L;Gordo;82,50;55;0;Lotery;
L;Quiniela;4,50;6;0;Lotery;
L;Euromillones;402,50;161;0;Lotery;
L;Lototurf;1,00;1;0;Lotery;
M;Primitiva;83,00;83;0;Lotery;
M;Joker Prim.;2,00;2;0;Lotery;
M;Bono Loto;72,50;145;0;Lotery;
M;Gordo;10,50;7;0;Lotery;
M;Quiniela;22,50;30;0;Lotery;
M;Elige 8;1,00;2;0;Lotery;
M;Euromillones;177,50;71;0;Lotery;
X;Primitiva;256,00;256;0;Lotery;
X;Joker Prim.;9,00;9;0;Lotery;
X;Bono Loto;29,00;58;0;Lotery;
X;Gordo;9,00;6;0;Lotery;
X;Quiniela;7,50;10;0;Lotery;
X;Euromillones;132,50;53;0;Lotery;
J;Primitiva;227,00;227;0;Lotery;
J;Joker Prim.;5,00;5;0;Lotery;
J;Bono Loto;56,00;112;0;Lotery;
J;Gordo;4,50;3;0;Lotery;
J;Quiniela;42,00;56;0;Lotery;
J;Euromillones;47,50;19;0;Lotery;
V;Primitiva;60,00;60;0;Lotery;
V;Bono Loto;30,00;60;0;Lotery;
V;Gordo;13,50;9;0;Lotery;
V;Quiniela;32,25;43;0;Lotery;
V;Euromillones;105,00;42;0;Lotery;
S;Primitiva;89,00;89;0;Lotery;
S;Joker Prim.;5,00;5;0;Lotery;
S;Bono Loto;55,50;111;0;Lotery;
S;Gordo;7,50;5;0;Lotery;
S;Quiniela;51,00;68;0;Lotery;
S;Elige 8;0,50;1;0;Lotery;
S;Euromillones;82,50;33;0;Lotery;
D;Primitiva;210,00;210;0;Lotery;
D;Joker Prim.;8,00;8;0;Lotery;
D;Bono Loto;113,50;227;0;Lotery;
D;Gordo;159,00;106;0;Lotery;
D;Euromillones;152,50;61;0;Lotery;
D;Lototurf;4,00;4;0;Lotery;
