Day;Item;Price;Quantity;Cost;Category;
L;Primitiva;438,00;438;0;Lotery;
L;Joker Prim.;28,00;28;0;Lotery;
L;Bono Loto;262,50;525;0;Lotery;
L;Gordo;82,50;55;0;Lotery;
L;Quiniela;9,00;12;0;Lotery;
L;Elige 8;1,00;2;0;Lotery;
L;Euromillones;422,50;169;0;Lotery;
L;Lototurf;1,00;1;0;Lotery;
M;Primitiva;167,00;167;0;Lotery;
M;Bono Loto;34,00;68;0;Lotery;
M;Gordo;15,00;10;0;Lotery;
M;Quiniela;39,75;53;0;Lotery;
M;Elige 8;1,50;3;0;Lotery;
M;Euromillones;287,50;115;0;Lotery;
X;Primitiva;222,00;222;0;Lotery;
X;Joker Prim.;4,00;4;0;Lotery;
X;Bono Loto;52,00;104;0;Lotery;
X;Gordo;16,50;11;0;Lotery;
X;Euromillones;115,00;46;0;Lotery;
J;Primitiva;210,00;210;0;Lotery;
J;Joker Prim.;2,00;2;0;Lotery;
J;Bono Loto;26,50;53;0;Lotery;
J;Gordo;6,00;4;0;Lotery;
J;Quiniela;14,25;19;0;Lotery;
J;Quinigol;1,00;1;0;Lotery;
J;Euromillones;77,50;31;0;Lotery;
V;Primitiva;88,00;88;0;Lotery;
V;Joker Prim.;3,00;3;0;Lotery;
V;Bono Loto;187,00;374;0;Lotery;
V;Gordo;27,00;18;0;Lotery;
V;Quiniela;36,75;49;0;Lotery;
V;Elige 8;1,50;3;0;Lotery;
V;Quinigol;7,00;7;0;Lotery;
V;Euromillones;155,00;62;0;Lotery;
V;Lototurf;1,00;1;0;Lotery;
S;Primitiva;205,00;205;0;Lotery;
S;Joker Prim.;3,00;3;0;Lotery;
S;Bono Loto;29,00;58;0;Lotery;
S;Gordo;25,50;17;0;Lotery;
S;Quiniela;189,00;252;0;Lotery;
S;Elige 8;5,50;11;0;Lotery;
S;Quinigol;1,00;1;0;Lotery;
S;Euromillones;45,00;18;0;Lotery;
S;Lototurf;2,00;2;0;Lotery;
D;Primitiva;223,00;223;0;Lotery;
D;Joker Prim.;6,00;6;0;Lotery;
D;Bono Loto;91,00;182;0;Lotery;
D;Gordo;114,00;76;0;Lotery;
D;Euromillones;107,50;43;0;Lotery;
D;Lototurf;4,00;4;0;Lotery;
